ComplexName,subunits(Entrez IDs),GO ID,GO description,FunCat ID,FunCat description,Complex comment,subunits(Gene name)
"Ubiquitin E3 ligase (SPOP, DAXX, CUL3)",8405;8452;1616,GO:2001141;GO:0006355;GO:0016567;GO:0043161;GO:0006511;GO:0043067;GO:0005634,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of programmed cell death;nucleus",11.02.03.04;14.07.05;14.13.01.01;40.10.02.04;70.10,"transcriptional control;modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);regulation of apoptosis;nucleus","Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. SPOP serves as an adaptor of Daxx for the ubiquitination by Cul3-based ubiquitin ligase and subsequent degradation by the proteasome. Experiments suggest that SPOP/Cul3-ubiquitin ligase plays an essential role in the control of Daxx level and, thus, in the regulation of Daxx-mediated cellular processes, including transcriptional regulation and apoptosis.",SPOP;CUL3;DAXX
ERdj3-BiP complex,14828;67838,GO:0050821;GO:0006457;GO:0030968;GO:0005783,protein stabilization;protein folding;endoplasmic reticulum unfolded protein response;endoplasmic reticulum,14.01;32.01.07;70.07,protein folding and stabilization;unfolded protein response (e.g. ER quality control);endoplasmic reticulum,"ERdj3, a stress-inducible endoplasmic reticulum DnaJ homologue, serves as a cofactor for interactions of the chaperone BiP with unfolded substrates.",Hspa5;Dnajb11
"Ubiquitin E3 ligase (SIAH1, SIP, SKP1A, TBL1X)",6907;6500;6477;27101,GO:0016567;GO:0043161;GO:0006511;GO:0023052,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;signaling,14.07.05;14.13.01.01;30.01,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);cellular signalling","Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Conditional degradation of beta-catenin represents a central event in the Wnt signaling pathways controlling cell fate and proliferation. A network of protein interactions in which Siah, SIP (a novel Siah-interacting protein), Skp1, and Ebi collaborate in a pathway controlling beta-catenin levels, affecting activity of beta-catenin-dependent Tcf/LEF transcription factors.",TBL1X;SKP1;SIAH1;CACYBP
"Ubiquitin E3 ligase (GLMN, FBXW8, SKP1A, RBX1)",9978;6500;26259;11146,GO:0016567;GO:0043161;GO:0006511;GO:0001570,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;vasculogenesis,14.07.05;14.13.01.01;47.03.03,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);vascular organs","Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Experiments suggest that ubiquitin E3 ligase (containing GLMN, FBXW8, SKP1A and RBX1) plays an important role in vascular morphogenesis.",RBX1;SKP1;FBXW8;GLMN
"Neddylin ligase (FBXO11, SKP1, CUL1, RBX1)",9978;6500;8454;80204,GO:0000338;GO:0016925;GO:0016926;GO:0045116;GO:0006464;GO:0051090;GO:0005634,protein deneddylation;protein sumoylation;protein desumoylation;protein neddylation;cellular protein modification process;regulation of DNA-binding transcription factor activity;nucleus,14.07.07;14.07;18.02.09;70.10,modification by ubiquitin-related proteins;protein modification;regulator of transcription factor;nucleus,FBXO11 promotes the neddylation of p53 and inhibits its transcriptional activity.,RBX1;SKP1;CUL1;FBXO11
MKK4-ARRB2-ASK1 complex,409;6416;4217,GO:0007254;GO:0000165,JNK cascade;MAPK cascade,30.01.05.01.02;30.01.05.01.03,JNK cascade;MAPKKK cascade,"The data suggest that ASK1 binds directly to beta -arrestin 2, and MKK4 interacts indirectly with beta -arrestin 2 via ASK1 or JNK3, thus forming a complete MAPK module.",ARRB2;MAP2K4;MAP3K5
MKK4-ARRB2-JNK3 complex,409;6416;5602,GO:0007254;GO:0000165,JNK cascade;MAPK cascade,30.01.05.01.02;30.01.05.01.03,JNK cascade;MAPKKK cascade,"The data suggest that ASK1 binds directly to beta -arrestin 2, and MKK4 interacts indirectly with beta -arrestin 2 via ASK1 or JNK3, thus forming a complete MAPK module.",ARRB2;MAP2K4;MAPK10
EIF4G1-HSP70-HSPA8-HNRNPD-PABPC1 complex,3312;26986;1981;3184;3303,GO:0006401,RNA catabolic process,01.03.16.01,RNA degradation,"Cytokine and proto-oncogene messenger RNAs (mRNAs) are rapidly degraded through AU-rich elements in the 39 untranslated region. Rapid decay involves AU-rich binding protein AUF1, which complexes with heat shock proteins hsc70-hsp70, translation initiation factor eIF4G, and poly(A) binding protein PABP.",HSPA8;PABPC1;EIF4G1;HNRNPD;None
SNW1 complex,23020;51366;203068;3309;5211;6421;1937;9782;4436;1915;3192;22938;9343;1642;10594;988;9416;10061,GO:0045893;GO:0008380;GO:0005634,"positive regulation of transcription, DNA-templated;RNA splicing;nucleus",11.02.03.04.01;11.04.03.01;70.10,transcription activation;splicing;nucleus,Identified subunits of the SNW1 complex represent components of the spliceosome as well as other nuclear matrix-associated proteins. Evidence was found that the complex couples vitamin D receptor-mediated transcription and RNA splicing.,SNRNP200;UBR5;TUBB;HSPA5;PFKL;SFPQ;EEF1G;MATR3;MSH2;EEF1A1;HNRNPU;SNW1;EFTUD2;DDB1;PRPF8;CDC5L;DDX23;ABCF2
GALNS-lysosomal hydrolase 1.27 MDa complex,5476;2720;2588;4758,GO:0005976;GO:0005764,polysaccharide metabolic process;lysosome,01.05.03;70.25,polysaccharide metabolism;vacuole or lysosome,The 1.27-MDa complex of lysosomal hydrolases is essential for keratan sulfate catabolism. Disruption of this complex may be responsible for the KS accumulation in beta-galactosidosis and galactosialidosis patients.Association of GALNS with the three other lysosomal hydrolases protects GALNS in lysosomes.,CTSA;GLB1;GALNS;NEU1
"G protein complex (GNG2, GNB2L1, RAF1)",5894;54331;10399,GO:0007186;GO:0004674,G protein-coupled receptor signaling pathway;protein serine/threonine kinase activity,30.05.02.24,G-protein coupled receptor signalling pathway,Raf-1 is a serine-threonine protein kinase critically positioned in a cascade linking activated growth factor receptors with the nucleus and ultimatively regulating the mitogenic response.,RAF1;GNG2;RACK1
Cdk5-c-Abl-Cables complex,11350;12568;63955,GO:0006468;GO:0007399;GO:0031175,protein phosphorylation;nervous system development;neuron projection development,14.07.03;47.03.01,"modification by phosphorylation, dephosphorylation, autophosphorylation;nervous system",Data suggest that Cables and Cdk5 tyrosine phosphorylation are involved in axon growth regulation.,Abl1;Cdk5;Cables1
"G protein complex (BTK, GNG1, GNG2)",54331;2782;695,GO:0007186;GO:0030154;GO:0005834,G protein-coupled receptor signaling pathway;cell differentiation;heterotrimeric G-protein complex,30.05.02.24;40.02,G-protein coupled receptor signalling pathway;cell differentiation,,GNG2;GNB1;BTK
ABL2-HRAS-RIN1 complex,3265;27;9610,GO:0035556,intracellular signal transduction,2022-01-30 00:00:00,cellular signalling,The formation of this stable complex is consistent with a pathway connecting RAS proteins with the cytoplasmic functions of ABL-family tyrosine kinases through RIN1.,HRAS;ABL2;RIN1
TLE1 corepressor complex (MASH1 promoter-corepressor complex),4869;142;4691;3308;4628;60;7155;7088;4841;10111,GO:0045892;GO:0005515;GO:0003677;GO:0051090;GO:0030182;GO:0005634,"negative regulation of transcription, DNA-templated;protein binding;DNA binding;regulation of DNA-binding transcription factor activity;neuron differentiation;nucleus",11.02.03.04.03;16.01;16.03.01;18.02.09;43.03.13;70.10,transcription repression;protein binding;DNA binding;regulator of transcription factor;neuron;nucleus,"The TLE1 complex is required for HES1-mediated transcription repression. PARP1 is inactive in the TLE1 complex. After Ca(2+) induction, kinase CaMKII-delta activates PARP1 leading to dismissal of the TLE1 corepresspor complex from HES1.",NPM1;PARP1;NCL;HSPA4;MYH10;ACTB;TOP2B;TLE1;NONO;RAD50
ITGA4-PXN-GIT1 complex,3676;5829;28964,GO:0016477,cell migration,34.05.01,cell migration,,ITGA4;PXN;GIT1
TSG101-VPS37B-VPS28 complex,7251;79720;51160,GO:0006886;GO:0006605;GO:0015031,intracellular protein transport;protein targeting;protein transport,14.04;20.01.10,"protein targeting, sorting and translocation;protein transport",,TSG101;VPS37B;VPS28
"mTOR2 complex (MTOR, RICTOR, MLST8)",2475;253260;64223,GO:0000902;GO:0016049;GO:0030036,cell morphogenesis;cell growth;actin cytoskeleton organization,40.01;42.04.03,cell growth / morphogenesis;actin cytoskeleton,The authors found that the rictor-mTOR complex modulates the phosphorylation of Protein Kinase C alpha (PKCalpha) and the actin cytoskeleton. The rictor-mTOR complex is insensitive to rapamycin.,MTOR;RICTOR;MLST8
PKD2-PACS1 complex,5311;55690,GO:0005216,ion channel activity,20.03.01.01,ion channels,,PKD2;PACS1
Bcl2 homodimer complex,12043,GO:0043067,regulation of programmed cell death,40.10.02.04,regulation of apoptosis,,Bcl2
PGRMC1-SCAP complex,10857;22937,GO:0042632;GO:0005783,cholesterol homeostasis;endoplasmic reticulum,34.01.07;70.07,cholesterol homeostasis;endoplasmic reticulum,,PGRMC1;SCAP
AXL homodimer complex,558,GO:0007169;GO:0005886,transmembrane receptor protein tyrosine kinase signaling pathway;plasma membrane,30.05.01.12;70.02,transmembrane receptor protein tyrosine kinase signalling pathways;eukaryotic plasma membrane / membrane attached,,AXL
CDC37-HSP90AA1-HSP90AB1-MAP3K11 complex,3320;3326;11140;4296,GO:0030234;GO:0050790,enzyme regulator activity;regulation of catalytic activity,2001-02-18 00:00:00,enzymatic activity regulation / enzyme regulator,MLK3 associates with Hsp90/p50(cdc37) through its catalytic domain in an activity-independent manner.,HSP90AA1;HSP90AB1;CDC37;MAP3K11
CHUK-ESR1-NCOA3 complex,1147;2099;8202,GO:0006355;GO:0006468;GO:0003677;GO:0071391;GO:0030520,"regulation of transcription, DNA-templated;protein phosphorylation;DNA binding;cellular response to estrogen stimulus;intracellular estrogen receptor signaling pathway",11.02.03.04;14.07.03;16.03.01,"transcriptional control;modification by phosphorylation, dephosphorylation, autophosphorylation;DNA binding","The authors showed that in estradiol-stimulated MCF7 cells, the association of both ER-alpha and AIB1/SRC-3 with IKK-alpha bound to the cyclin D1 promoter was markedly increased in an estrogen-dependent manner. Further siRNA experiments showed that IKK-alpha contributes to the estrogen-mediated phosphorylation of both ER-alpha and AIB1/SRC-3.",CHUK;ESR1;NCOA3
DNAJB2-HSPA8-PSMA3 complex,3312;3300;5684,GO:0006886;GO:0006605;GO:0015031;GO:0043161;GO:0006511,intracellular protein transport;protein targeting;protein transport;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process,14.04;20.01.10;14.13.01.01,"protein targeting, sorting and translocation;protein transport;proteasomal degradation (ubiquitin/proteasomal pathway)",,HSPA8;DNAJB2;PSMA3
Ahr-Aip-Hsp90 complex,11632;15516;11622,GO:2001141;GO:0006355;GO:0006886;GO:0006605;GO:0015031;GO:0005737,"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;intracellular protein transport;protein targeting;protein transport;cytoplasm",11.02.03.04;14.04;20.01.10;70.03,"transcriptional control;protein targeting, sorting and translocation;protein transport;cytoplasm",The authors suggest that AIP influences ligand receptivity and/or nuclear targeting of AhR.,Aip;Hsp90ab1;Ahr
YBX1-AKT1 complex,207;4904,GO:0008361;GO:0005634,regulation of cell size;nucleus,40.01.05;70.10,growth regulators / regulation of cell size;nucleus,,AKT1;YBX1
AR-AKT-APPL complex,367;207;26060,GO:0023052,signaling,2022-01-30 00:00:00,cellular signalling,"The authors  suggest that APPL, Akt, and AR may exist in a complex and Akt may serve as an important bridge factor for the association of APPL with AR. They demonstrated that the APPL\u00b7AR complex was not clearly seen, and that the addition of Akt markedly enhanced APPL\u00b7AR complex formation.",AR;AKT1;APPL1
"Ubiquitin E3 ligase (Neurl2, Tceb1, Tceb2, Cul5, Rbx1)",67673;56438;67923;415115;75717,GO:0016567;GO:0043161;GO:0006511;GO:0007519;GO:0014706,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;skeletal muscle tissue development;striated muscle tissue development,14.07.05;14.13.01.01;41.05.15;45.03.12.01,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);myogenesis;striated muscle","Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. In the differentiating myofibers, the RING-type ubiquitin E3 ligase (containing Neurl2, Tceb1, Tceb2, Cul5 and Rbx1) regulates the levels of sarcolemma-associated beta-catenin by mediating its degradation via the proteasome. Expression of beta-catenin mutants that reduce the binding of Ozz to endogenous beta-catenin leads to Mb-beta-catenin accumulation and myofibrillogenesis defects similar to those observed in Ozz None myocytes.",Elob;Rbx1;Eloc;Neurl2;Cul5
"Ubiquitin E3 ligase (CDC34, CUL1, RBX1)",997;9978;8454,GO:0016567;GO:0043161;GO:0006511,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process,14.07.05;14.13.01.01,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)",Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The conjugation of Nedd8 to the ROC1-CUL1 complex selectively stimulates Cdc34-catalyzed Lys48-linked multiubiquitin chain assembly.,CDC34;RBX1;CUL1
"Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)",9978;8451;1642;81620,GO:0016567;GO:0043161;GO:0006511;GO:0006974,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cellular response to DNA damage stimulus,14.07.05;14.13.01.01;32.01.09,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);DNA damage response",Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The CDT1-DDB1-CUL4A complex was observed in an investigation of targeted ubiquitination of CDT1 by the DDB1-CUL4A-ROC1 ligase in response to DNA damage.,RBX1;CUL4A;DDB1;CDT1
COP9 signalosome complex,103245643;103226489;103236922;103243750;108679,GO:0001889;GO:0005634;GO:0008180,liver development;nucleus;COP9 signalosome,47.03.11.07;70.10,liver;nucleus,"CSN is a key player in the functional regulation of hepatopoietin (HPO).It also functions at the interface between signal transduction, ubiquitin-dependent proteolysis, and developmental control.",COPS2;GFER;COPS5;GPS1;Cops8
COP9 signalosome complex,9318;2873;10980;10987;10920;51138;50813;8533,GO:0008180;GO:0010387,COP9 signalosome;COP9 signalosome assembly,,,"The purified complex is very similar, if not identical, to the plant COP9 complex involved in light-mediated signal transduction. A regulating transcriptional activity is discussed.",COPS2;GPS1;COPS6;COPS5;COPS8;COPS4;COPS7A;COPS3
CNS-P53 complex,7157;9318;2873;10980;10987;10920;51138;50813;8533,GO:0006886;GO:0006605;GO:0015031,intracellular protein transport;protein targeting;protein transport,14.04;20.01.10,"protein targeting, sorting and translocation;protein transport",,TP53;COPS2;GPS1;COPS6;COPS5;COPS8;COPS4;COPS7A;COPS3
"Ubiquitin E3 ligase (CDC34, NEDD8, BTRC, CUL1, SKP1A, RBX1)",9978;6500;8454;4738;8945,GO:0016567;GO:0043161;GO:0006511;GO:0005737,protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;cytoplasm,14.07.05;14.13.01.01;70.03,"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);cytoplasm","Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Regulation of NF-kappaB occurs through phosphorylation-dependent ubiquitination of IkappaBalpha, which is degraded by the 26S proteasome. Recent studies have shown that ubiquitination of IkappaBalpha is carried out by ubiquitin E3 ligase complexes. Nedd8 modification of the Cul-1 component of ubiquitin E3 ligases is important for ubiquitination of IkappaBalpha.",RBX1;SKP1;CUL1;NEDD8;BTRC
